,title,date,link,year,month,country
31,Australia – Campion College defaced by antisemitic graffiti,2023-02-07,https://antisemitism.org.il/2024/02/17/australia-campion-college-defaced-by-antisemitic-graffiti/,2023.0,2.0,Australia
32,Spain – Oleiros calls Netanyahu a beast and war criminal,2023-02-07,https://antisemitism.org.il/2024/02/16/spain-oleiros-calls-netanyahu-a-beast-and-war-criminal/,2023.0,2.0,Spain
33,Canada – Police investigating after Toronto’s Mount Sinai Hospital targeted by Pro-Palestinian protesters,2023-02-07,https://antisemitism.org.il/2024/02/16/canada-police-investigating-after-torontos-mount-sinai-hospital-targeted-by-pro-palestinian-protesters/,2023.0,2.0,Canada
34,France – Jewish man stabbed six times in Paris antisemitic attack,2023-02-07,https://antisemitism.org.il/2024/02/15/france-jewish-man-stabbed-six-times-in-paris-antisemitic-attack/,2023.0,2.0,France
35,UK – Two Jewish students verbally abused at University of Leeds,2023-02-07,https://antisemitism.org.il/2024/02/14/uk-two-jewish-students-verbally-abused-at-university-of-leeds/,2023.0,2.0,UK
36,Germany – The Jewish cemetery in Twistringen was vandalized,2023-02-07,https://antisemitism.org.il/2024/02/13/germany-the-jewish-cemetery-in-twistringen-was-vandalized/,2023.0,2.0,Germany
37,Spain – The mayor of Alcorcón refuses to remember the Holocaust but organizes an event for Gaza,2023-02-07,https://antisemitism.org.il/2024/02/12/spain-the-mayor-of-alcorcon-refuses-to-remember-the-holocaust-but-organizes-an-event-for-gaza/,2023.0,2.0,Spain
38,USA – Brown-RISD Hillel Center receives series of antisemitic threats,2023-02-07,https://antisemitism.org.il/2024/02/12/usa-brown-risd-hillel-center-receives-series-of-antisemitic-threats/,2023.0,2.0,USA
39,Australian anti-Israel campaigners publish ‘Jew list’,2023-02-07,https://antisemitism.org.il/2024/02/11/australian-anti-israel-campaigners-publish-jew-list/,2023.0,2.0,Australian anti-Israel campaigners publish ‘Jew list’
40,"USA – University of Michigan Jewish students targeted with egg at window, ‘y’all are Jewish’ written on their whiteboard",2022-07-14,https://antisemitism.org.il/2024/02/11/usa-university-of-michigan-jewish-students-targeted-with-egg-at-window-yall-are-jewish-written-on-their-whiteboard/,2022.0,7.0,USA
41,"USA – Restaurant vandalized with antisemitic graffiti in Williamsburg, Brooklyn",2022-07-14,https://antisemitism.org.il/2024/02/10/usa-restaurant-vandalized-with-antisemitic-graffiti-in-williamsburg-brooklyn/,2022.0,7.0,USA
